Comment,Designator,Footprint,LCSC
"10uF","C1","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C15850"
"22pF","C2,C3","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C1804"
"0.1uF","C4,C5,C7","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C49678"
"1uF","C6","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C28323"
"D","D1,D11,D22,D24,D27,D28,D32,D34,D35,D37,D38,D39,D40,D41,D43,D44,D45,D46,D47,D48,D49,D51,D52,D53,D56,D57,D59,D74,D79,D84,D87,D89,D91,D92,D93,D94,D96,D97,D98","locallib:D_SOD-123_Emphasized_Direction_Line","C81598"
"PRTR5V0U2X","D10","Package_TO_SOT_SMD:SOT-143","C78442"
"Conn_01x01","EXT_C0,EXT_R0,EXT_C1,EXT_R1,EXT_C2,EXT_R2,EXT_C3,EXT_R3,EXT_C4,EXT_R4,EXT_C5,EXT_R5,EXT_C6,EXT_R6,EXT_C7,EXT_R7,EXT_R8,EXT_R9","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm",""
"500mA","F1","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C70076"
"MountingHole","H1,H2,H3,H4,H90,H91","locallib:MountingHole_2.2mm_M2_No_Cu",""
"MountingHole","H6,H7,H8,H9,H10,H11,H12,H13,H14,H40,H41","locallib:MountingHole_2.2mm_M2_Pad_minimal",""
"USB_C_Receptacle_USB2.0","J1","Connector_USB:USB_C_Receptacle_GCT_USB4085",""
"Conn_01x03","J2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x02","J3","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"Conn_02x03_Odd_Even","J4","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"Conn_02x02_Top_Bottom","J6,J7,J8,J9,J10,J15","locallib:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal_wCable_housing_spare_pin",""
"SolderJumper_3_Open","JP_LED1,JP_LED2","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels",""
"SK6812MINI","LED1,LED2,LED3,LED4","locallib:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_TriangleMark_Thick",""
"Logo_Base","LOGO1","Jones.local:Sandy_logo_w60",""
"5.1k","R1,R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C27834"
"22","R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17561"
"10k","R5,R6","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C17414"
"4.7k","R8,R9","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","C17673"
"5.2x5.2mm","ResetSW1","Button_Switch_SMD:SW_SPST_TL3342",""
"SW_Push","SW_;1,SW_<1,SW_>1,SW_A1,SW_C1,SW_D1,SW_DOWN1,SW_E1,SW_F1,SW_I1,SW_J1,SW_K1,SW_L1,SW_M1,SW_N1,SW_O1,SW_RIGHT1,SW_S1,SW_UP1,SW_V1,SW_W1,SW_X1,SW_Z1,SW_CAPS1u1,SW_CenterC1u1,SW_CenterL1u1,SW_CenterR1u1,SW_Fn1u1,SW_LSFT1u1,SW_CenterL1u2,SW_CenterR1u2,SW_LSFT1u2,SW_L2-1u1","MX_Alps_Hybrid:MXOnly-1U-NoLED",""
"SW_Push","SW_CTL1.25u1,SW_ENT1.25u1,SW_LALT1.25u1,SW_LWIN1.25u1,SW_RALT1.25u1,SW_ROPT1.25u1","MX_Alps_Hybrid:MXOnly-1.25U-NoLED",""
"SW_Push","SW_CTL1.5u1,SW_ENT1.5u1,SW_LSPC1.5u1,SW_RSPC1.5u1","MX_Alps_Hybrid:MXOnly-1.5U-NoLED",""
"SW_Push","SW_LSFT1.75u1","MX_Alps_Hybrid:MXOnly-1.75U-NoLED",""
"SW_Push","SW_LSFT2u1","MX_Alps_Hybrid:MXOnly-2U-NoLED",""
"SW_Push","SW_LSPC2u1,SW_RSPC2u1","MX_Alps_Hybrid:MXOnly-2U-ReversedStabilizers-NoLED",""
"RotaryEncoder_Switch","SW_RE_L1,SW_RE_R1,SW_RE_L2,SW_RE_R2,SW_RE_L3","locallib:RotaryEncoder_Alps_EC11K-Switch_Vertical_H20mm_NPTH_MP",""
"ATmega32U4-MU","U1","Housings_DFN_QFN:QFN-44-1EP_7x7mm_Pitch0.5mm","C45874"
"24LC64","U2","Package_SO:SO-8_3.9x4.9mm_P1.27mm","C79988"
"16MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering","C13738"